file,line,function,primitive_calls,total_calls,self_seconds,cumulative_seconds
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/multi.py,326,__new__,91,91,0.00047436500000000003,0.004428222
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/statsmodels/tools/data.py,1,<module>,1,1,1.5380000000000002e-05,0.004409821
~,0,<built-in method _io.open_code>,23,23,0.004165587,0.004165587
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py,71,_wrapreduction,419,419,0.0018586470000000002,0.004087838
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py,2789,new_block,774,774,0.002370969,0.003976498
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_sputils.py,264,get_index_dtype,88,88,0.0028712570000000003,0.003927692
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py,1385,_is_dtype,980,980,0.0008328490000000001,0.003855541
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,6323,__setattr__,1810,1810,0.0036913460000000003,0.0038497350000000004
~,0,<built-in method builtins.getattr>,15195,15195,0.0036184660000000003,0.0038440020000000004
~,0,<method 'take' of 'numpy.ndarray' objects>,420,420,0.0038143490000000003,0.0038143490000000003
<frozen importlib._bootstrap_external>,150,_path_is_mode_type,43,43,3.7468e-05,0.00370556
<frozen importlib._bootstrap_external>,159,_path_isfile,38,38,2.5849000000000003e-05,0.0036971290000000004
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,589,_get_axis,2231,2231,0.003026445,0.003625796
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/multi.py,1339,__contains__,86,86,0.000260856,0.0034984150000000004
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,5564,equals,387,387,0.0008256120000000001,0.003486555
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py,294,make_block_same_class,467,467,0.003303134,0.003303134
~,0,<built-in method numpy.array>,944,944,0.0032579970000000003,0.003302887
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/series.py,981,__array__,467,467,0.0012339990000000002,0.003167248
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py,967,from_blocks,774,774,0.0028634040000000004,0.0030890310000000003
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/nanops.py,79,<genexpr>,1920,1920,0.001380947,0.003069341
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/arrays/categorical.py,371,__init__,4,4,8.3569e-05,0.002845545
~,0,<method 'max' of 'numpy.ndarray' objects>,465,465,0.000570548,0.002845279
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py,166,check_format,56,56,0.0017488260000000002,0.0027895840000000003
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py,1591,construct_1d_object_array_from_listlike,384,384,0.001488621,0.0027517220000000003
